GeoID,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
BK0505,54018.0,19672,17775,44421,4460,44646,15113,12271,3776,15364,19054,2.92,1575,1176.0,216
BK0601,154827.0,43418,34459,60317,6746,60893,25024,13396,27433,22512,26697,2.41,2110,1810.0,130
BK0602,200212.0,52528,36328,58458,6391,58877,24513,11811,35956,22471,25244,2.39,1839,2443.0,281
BK0701,157303.0,20970,14118,24429,3178,24496,9890,5667,12535,9177,10395,2.46,667,2071.0,180
BK0702,86887.0,22683,26060,49011,5330,51456,16320,11987,11099,21690,20130,3.02,1240,1591.0,182
BK0703,68374.0,11727,23946,45852,4763,46125,13424,10699,5447,18104,18109,3.43,1112,1395.0,163
BK0801,156139.0,17805,14109,22279,2883,22301,9791,3795,12574,8857,10038,2.26,723,1988.0,75
BK0802,76595.0,47693,45337,81177,9993,82184,34556,18404,22584,30944,38740,2.32,3148,1305.0,309
BK0901,74118.0,29782,26679,50327,6639,50826,19417,13415,11426,19001,22532,2.59,1400,1377.0,125
BK0902,82902.0,27028,25551,46174,7026,46940,19405,11073,12737,17166,22243,2.38,1652,1393.0,292
BK1001,103321.0,53518,42678,79795,13906,80127,33708,16560,29449,32162,35174,2.37,4167,1566.0,802
BK1002,88654.0,22018,20738,42396,7487,42554,13968,10029,9085,17015,18093,3.03,1120,1422.0,768
BK1101,74883.0,45543,49625,97518,14857,97786,32772,21555,20673,39405,40835,2.98,2047,1407.0,809
BK1102,87185.0,16335,16648,33366,4986,33580,11312,8036,8002,13021,13769,2.95,849,1460.0,318
BK1103,80154.0,29082,28093,57218,9462,57692,19594,13155,12988,22240,24564,2.9,946,1394.0,499
BK1201,62223.0,8077,13497,29024,3705,29704,8591,7924,3698,10851,11941,3.38,854,1347.0,74
BK1202,65158.0,24476,26882,78304,8737,78757,19987,29488,7205,24806,24444,3.92,2397,1453.0,139
BK1203,91592.0,20793,19351,38446,4889,38788,13662,10294,12117,14924,14995,2.81,559,1607.0,159
BK1204,96017.0,19561,14645,37143,5090,37245,11244,12284,7328,12945,13178,3.31,1476,1499.0,410
BK1301,69104.0,13838,12791,27916,5912,27978,10978,5920,7221,10785,12629,2.54,977,1117.0,283
