LandUse,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,LotType,AssessLand,BuiltFAR,BoroCode,BBL,XCoord,YCoord,ZoneMap,Sanborn,TaxMap,PLUTOMapID,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Energy Use (kBtu),Latitude,Longitude,NTA,GeoID,ntaname,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
3,10325,49816,1,5.0,46,100.0,103.25,86.0,100.0,2,5,819000,4.82,1,1007650070,983948,209108,8b,103 032,10304,1,411.7181954,10589.46069,49816.0,89,68,97.6,24565.4,3271767.8,40.740482,-74.000159,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,4600,21000,1,8.0,40,50.0,92.0,50.0,92.0,3,5,309600,4.57,1,1007160055,982913,210525,8b,103 041,10302,1,287.8689399,4678.005366,21000.0,33,82,123.1,10405.6,1573541.4,40.744618,-74.004526,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,22219,218019,1,10.0,0,225.0,98.75,225.0,98.0,3,5,2699550,9.81,1,1006970047,983057,212517,8b,105S004,10301,1,651.4142428,22695.42517,218019.0,109,85,107.2,209388.6,21430863.2,40.750034,-74.003855,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,7400,166874,1,23.0,0,74.04,100.0,74.0,100.0,3,5,1714500,22.55,1,1007610033,986416,214161,8d,105N032,10304,1,363.5238192,8027.074505,164478.0,92,78,140.6,339.7,14856105.5,40.754296,-73.991944,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,9916,82354,1,9.0,80,100.42,98.75,100.0,99.0,3,5,774000,8.31,1,1007610022,986241,214215,8d,105N032,10304,1,403.3743286,10168.7797,72354.0,97,31,145.6,46057.2,7162009.8,40.754384,-73.992742,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,26070,147888,1,13.0,223,176.0,197.5,147.0,87.0,3,4,1971000,5.67,1,1007530056,985108,212519,8d,105S019,10303,1,757.0048459,26765.31743,147888.0,90,62,121.1,105894.6,13011996.0,40.750113,-73.996329,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,19760,249981,1,40.0,202,100.0,197.6,100.0,197.5,1,3,2160028,12.65,1,1008007504,986355,210338,8d,15S 011,10305,1,621.6395726,21693.57496,335836.0,11,25,133.4,98843.1,22924457.2,40.743756,-73.992739,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,6600,109669,1,20.0,110,66.0,100.0,66.0,100.0,2,3,900000,16.62,1,1007640042,984361,208596,8d,103 032,10304,1,351.26769,7346.085624,116249.0,88,27,144.5,79975.3,10997121.2,40.739417,-73.999614,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,39779,515174,1,24.0,0,197.5,201.42,190.0,191.0,2,3,7160400,12.95,1,1007320036,985216,213955,8d,105S029,10302,1,835.8218321,43457.61136,350000.0,57,93,81.6,299.0,10220266.5,40.753758,-73.996048,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,9850,108402,1,17.0,178,99.75,98.75,100.0,65.0,3,5,429300,11.01,1,1007310060,984895,213856,8d,105S018,10302,1,393.5122153,9678.067275,110570.0,56,87,121.9,3849.8,10185582.2,40.753816,-73.997354,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
