BBL,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
4102150001,105600.0,18,19,12.3,0.4,40.707537,-73.785626,Jamaica
4091770023,98346.0,17,34,10.9,0.4,40.697961,-73.84796,Richmond Hill
5010200001,34880.0,88,60,8.3,0.1,40.636598,-74.132919,Port Richmond
5011350001,40860.0,88,85,6.5,0.2,40.631523,-74.144297,Port Richmond
5017060001,118925.0,87,44,6.6,0.4,40.625369,-74.15097,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5026340001,33660.0,79,66,6.3,0.3,40.591702,-74.190648,New Springville-Bloomfield-Travis
5006100127,31500.0,65,66,6.3,0.5,40.613721,-74.099626,Grymes Hill-Clifton-Fox Hills
5037320006,55860.0,64,88,4.4,0.1,40.574747,-74.09992,New Dorp-Midland Beach
5028880040,129725.0,44,89,4.8,0.3,40.611508,-74.083177,Grymes Hill-Clifton-Fox Hills
5077600001,116525.0,21,19,12.8,0.3,40.510735,-74.231109,Charleston-Richmond Valley-Tottenville
2024950100,82925.0,79,44,5.2,0,40.834776,-73.923067,West Concourse
2028270001,136025.0,81,59,5.1,0,40.848547,-73.908416,Mount Hope
2037180001,157200.0,66,51,3.6,0,40.825403,-73.873666,Soundview-Bruckner
2024110022,282668.0,88,80,4.1,0,40.818232,-73.919867,Melrose South-Mott Haven North
1016400139,109300.0,55,62,6.7,0.5,40.797577,-73.94128,East Harlem North
1019390011,133325.0,55,95,4.2,0.3,40.815016,-73.945123,Central Harlem North-Polo Grounds
1016930001,138125.0,94,72,5.1,0.6,40.785671,-73.942548,East Harlem South
1016140021,105725.0,68,88,3.2,0,40.795146,-73.948368,East Harlem South
1019640012,160925.0,98,72,5.5,0,40.810431,-73.955809,Morningside Heights
1017550001,81680.0,70,34,4.5,0.1,40.809672,-73.939872,Central Harlem North-Polo Grounds
1019320010,108100.0,56,87,4.4,0,40.810928,-73.948938,Central Harlem North-Polo Grounds
1019710001,114125.0,57,90,4.9,0,40.81755,-73.953041,Manhattanville
1021110024,115200.0,89,70,4.1,0.5,40.836536,-73.937159,Washington Heights South
1015240023,109325.0,59,95,4,0.3,40.784826,-73.949611,Upper East Side-Carnegie Hill
1009220008,218562.0,113,90,4.5,0,40.732447,-73.983031,Gramercy
1021500030,114980.0,27,41,9.6,0.3,40.85899,-73.922894,Marble Hill-Inwood
1021670029,114821.0,27,60,11.9,0.2,40.853466,-73.934048,Washington Heights North
1000520001,115125.0,61,2,12.8,0,40.709196,-74.012022,Battery Park City-Lower Manhattan
1000160220,114125.0,22,42,10.8,0.3,40.716668,-74.013542,Battery Park City-Lower Manhattan
1019400035,89800.0,95,50,11.5,0.3,40.815449,-73.944061,Central Harlem North-Polo Grounds
2053130092,107729.0,91,57,9.7,0.2,40.835779,-73.825735,Schuylerville-Throgs Neck-Edgewater Park
2031860049,40310.0,92,80,7,0.3,40.857842,-73.904202,Fordham South
2059170140,115325.0,66,81,4.1,0.2,40.887111,-73.913697,North Riverdale-Fieldston-Riverdale
2026640001,84080.0,119,85,4.4,0.3,40.812619,-73.906063,Melrose South-Mott Haven North
2031880020,84080.0,119,64,5.7,0.7,40.86185,-73.90176,Fordham South
2037860016,100925.0,108,57,5.5,0.5,40.832902,-73.866848,West Farms-Bronx River
2026150014,101669.0,95,24,7.4,0.5,40.830995,-73.902705,Morrisania-Melrose
2031230003,132575.0,94,71,4.2,0,40.843945,-73.884788,East Tremont
2027930028,173789.0,94,57,5.6,0.1,40.844253,-73.907616,Mount Hope
2045520010,79300.0,88,62,5.5,0.6,40.869593,-73.861282,Allerton-Pelham Gardens
2041250001,96100.0,95,83,4.3,0,40.849395,-73.859249,Van Nest-Morris Park-Westchester Square
2024560100,124900.0,88,78,4.8,0.1,40.831992,-73.91796,East Concourse-Concourse Village
2046330040,390250.0,90,45,4.3,0,40.875953,-73.86197,Williamsbridge-Olinville
2030070008,211200.0,50,98,4,0,40.830589,-73.887587,Crotona Park East
2030370079,90031.0,27,36,7.8,0.7,40.85294,-73.894742,Claremont-Bathgate
2040060003,69080.0,104,46,11.9,0.3,40.841794,-73.875366,East Tremont
2028510021,43760.0,25,52,12.5,0.3,40.848896,-73.909528,Mount Hope
